start,end,college,name,elected,vote_support,vote_object,vote_invalid,college_population,college_population_total,college_population_rate,college_vote_population,college_vote_rate,college_support_vote,college_support_rate,competitive,college_vote_invalid,college_english,college_english_ab
103-2,104-1,法學院,彭立言,1,32,NA,NA,1564,32489,0.048139370248391766,135,0.08631713554987212,135,0.23703703703703705,1,0,Law,Law
103-2,104-1,法學院,許澤永,NA,31,NA,NA,1564,32489,0.048139370248391766,135,0.08631713554987212,135,0.22962962962962963,1,0,Law,Law
103-2,104-1,法學院,黃若翔,NA,8,NA,NA,1564,32489,0.048139370248391766,135,0.08631713554987212,135,0.05925925925925926,1,0,Law,Law
103-2,104-1,法學院,謝宇修,1,39,NA,NA,1564,32489,0.048139370248391766,135,0.08631713554987212,135,0.28888888888888886,1,0,Law,Law
103-2,104-1,法學院,李芷毓,1,25,NA,NA,1564,32489,0.048139370248391766,135,0.08631713554987212,135,0.18518518518518517,1,0,Law,Law
103-2,104-1,生科學院,高嘉妮,1,12,1,0,1247,32489,0.03838222167502847,13,0.010425020048115477,12,1,0,0,Life Science,Life Sci
104-1,104-2,文學院,許鈞雅,1,53,6,95,2951,29467,0.1001459259510639,154,0.052185699762792276,299,0.17725752508361203,1,0,Liberal Arts,LA
104-1,104-2,文學院,吳家安,1,61,3,90,2951,29467,0.1001459259510639,154,0.052185699762792276,299,0.2040133779264214,1,0,Liberal Arts,LA
104-1,104-2,文學院,周安履,1,58,7,89,2951,29467,0.1001459259510639,154,0.052185699762792276,299,0.1939799331103679,1,0,Liberal Arts,LA
104-1,104-2,文學院,陳國榮,1,54,6,94,2951,29467,0.1001459259510639,154,0.052185699762792276,299,0.1806020066889632,1,0,Liberal Arts,LA
104-1,104-2,文學院,王日暄,1,73,11,70,2951,29467,0.1001459259510639,154,0.052185699762792276,299,0.24414715719063546,1,0,Liberal Arts,LA
104-1,104-2,理學院,黃泊羲,1,46,4,42,2881,29467,0.09777038721281434,92,0.03193335647344672,180,0.25555555555555554,0,0,Science,Sci
104-1,104-2,理學院,許皓雲,1,57,8,27,2881,29467,0.09777038721281434,92,0.03193335647344672,180,0.31666666666666665,0,0,Science,Sci
104-1,104-2,理學院,許軒瑋,1,37,7,48,2881,29467,0.09777038721281434,92,0.03193335647344672,180,0.20555555555555555,0,0,Science,Sci
104-1,104-2,理學院,吳宗錡,1,40,16,36,2881,29467,0.09777038721281434,92,0.03193335647344672,180,0.2222222222222222,0,0,Science,Sci
104-1,104-2,社科院,劉哲銘,1,112,24,158,2832,29467,0.09610751009603964,294,0.1038135593220339,474,0.23628691983122363,1,0,Social Sciences,Soc Sci
104-1,104-2,社科院,林浩民,1,56,26,212,2832,29467,0.09610751009603964,294,0.1038135593220339,474,0.11814345991561181,1,0,Social Sciences,Soc Sci
104-1,104-2,社科院,陳孟岑,1,90,17,187,2832,29467,0.09610751009603964,294,0.1038135593220339,474,0.189873417721519,1,0,Social Sciences,Soc Sci
104-1,104-2,社科院,陳浩天,1,109,20,165,2832,29467,0.09610751009603964,294,0.1038135593220339,474,0.229957805907173,1,0,Social Sciences,Soc Sci
104-1,104-2,社科院,林羿萱,1,107,13,174,2832,29467,0.09610751009603964,294,0.1038135593220339,474,0.22573839662447256,1,0,Social Sciences,Soc Sci
104-1,104-2,醫學院,辜柏耘,1,275,13,88,3263,29467,0.11073404147011912,376,0.11523138216365308,1154,0.23830155979202772,0,0,Medicine,Med
