term,college,all,vote,competitive,void,college_population_total,college_population_rate,vote_rate,college_english,college_english_ab,concentration
105-2,理學院,2994,42,no,0,30065,0.09958423415932147,0.014028056112224449,Science,Sci,second
105-2,理學院,2994,42,no,0,30065,0.09958423415932147,0.014028056112224449,Science,Sci,third
105-2,社科院,2914,407,yes,9,30065,0.09692333277897888,0.13967055593685657,Social Sciences,Soc Sci,first
105-2,醫學院,3043,61,no,0,30065,0.1012140362547813,0.020046007229707525,Medicine,Med,third
105-2,工學院,4824,109,no,0,30065,0.16045235323465823,0.022595356550580432,Engineering,Engr,second
105-2,生農學院,3799,84,no,0,30065,0.1263595542990188,0.022111081863648328,Bio & Agr,Bio & Agri,third
105-2,生農學院,3799,84,no,0,30065,0.1263595542990188,0.022111081863648328,Bio & Agr,Bio & Agri,first
105-2,生農學院,3799,84,no,0,30065,0.1263595542990188,0.022111081863648328,Bio & Agr,Bio & Agri,second
105-2,管理學院,3107,107,yes,0,30065,0.10334275735905538,0.034438364982298034,Management,Mgmt,first
105-2,管理學院,3107,107,yes,0,30065,0.10334275735905538,0.034438364982298034,Management,Mgmt,second
105-2,電資學院,3594,71,yes,2,30065,0.1195409945118909,0.019755147468002224,EE & CS,EE & CS,second
105-2,法學院,1548,224,yes,1,30065,0.051488441709629136,0.14470284237726097,Law,Law,first
105-2,生科學院,1148,25,no,0,30065,0.03818393480791618,0.02177700348432056,Life Science,Life Sci,third
105-2,公衛學院,NA,NA,no,0,30065,NA,NA,Public Health,PH,third
106-1,文學院,3107,219,no,0,30991,0.10025491271659515,0.07048599935629224,Liberal Arts,LA,first
106-1,理學院,2852,101,no,0,30991,0.09202671743409377,0.03541374474053296,Science,Sci,second
106-1,理學院,2852,101,no,0,30991,0.09202671743409377,0.03541374474053296,Science,Sci,third
106-1,社科院,2892,461,yes,22,30991,0.09331741473330966,0.1594052558782849,Social Sciences,Soc Sci,first
106-1,醫學院,3286,177,no,0,30991,0.1060307831305863,0.05386488131466829,Medicine,Med,third
106-1,工學院,4684,161,no,0,30991,0.15114065373818206,0.03437233134073441,Engineering,Engr,second
106-1,生農學院,3637,249,yes,21,30991,0.11735665193120583,0.06846301897167996,Bio & Agr,Bio & Agri,third
106-1,生農學院,3637,249,yes,21,30991,0.11735665193120583,0.06846301897167996,Bio & Agr,Bio & Agri,first
106-1,生農學院,3637,249,yes,21,30991,0.11735665193120583,0.06846301897167996,Bio & Agr,Bio & Agri,second
106-1,管理學院,3833,149,no,0,30991,0.12368106869736376,0.03887294547351944,Management,Mgmt,first
106-1,管理學院,3833,149,no,0,30991,0.12368106869736376,0.03887294547351944,Management,Mgmt,second
106-1,公衛學院,665,27,no,0,30991,0.02145784259946436,0.0406015037593985,Public Health,PH,third
106-1,電資學院,3447,134,no,0,30991,0.1112258397599303,0.0388743835219031,EE & CS,EE & CS,second
106-1,法學院,1525,298,yes,7,30991,0.04920783453260624,0.19540983606557377,Law,Law,first
106-1,生科學院,1063,45,yes,1,30991,0.03430028072666258,0.04233301975540922,Life Science,Life Sci,third
